No;Fulltext;Status
40;@hihanghohheng @tanyarlfes ohh okee makasih ya dah jawab.. btw aku mau nanya lg huhu no register slip biruku kok belum ada di etilang ya.... apa harus nunggu dulu??;
41;@SpooderLily @tanyarlfes aku kira juga gak segitu kak kemaren cek di situs etilang juga 200. karena aku maalas ribet (nganterin stnk yg ditahan) jadi aku lgsg ke kejaksaan. di surat tilang kan juga ada nomor untuk pembayaran lewat mbankingnya. tergantung pelanggaran nya juga sih;
42;@hihanghohheng @tanyarlfes stnk motornya disita ga?? adek km di etilang atau tilang langsung slip biru?;
43;@masccline Lampu merah berhenti dl takut kena etilang;
44;ngelewatin etilang lenteng agung sambil dadah dadah alias kameranya ngejepret terusÂ²an kek di red carpet anjir;
45;@undipmenfess Dlu kena etilang surat tilang nya di kirim ke rumah;
46;@undipmenfess etilang itu berbentuk surat yang dikirim langsung ke alamat stnk;
47;@undipmenfess jangan dibuka nder itu penipuan. kalo kena etilang biasanya dikirim surat kerumah soalnya ak pernah ahahahah;
48;@undipmenfess Awas malware gaes... tidak seperti etilang;
49;@undipmenfess kalo kena etilang tuh biasanya dapet surat yang di kirim langsung ke rumah;
50;@undipmenfess kalo etilang d kasi surat cinta nderr ke rumah;
51;@undipmenfess aku sering kena etilang di kirim nya surat langsung ke rumah;
52;@undipmenfess Etilang harusnya surat dateng ke rumah nder bukan pesan wa wkwkwk;
53;"@undipmenfess w wkt itu kena tilang dikirim lewat sms nama pengirimnya etilang langsung ya bukan nomor tlp &amp; ada no reg tilangnya masukin di web etilang biar u tau salahnya apa terus nominal dendanya brp. https://t.co/iwULsijW8w";
54;INI GMN CARA BAYAR ETILANG YAAAK UDAH KELEWAT 10 HARI WKWKWKWKWKWK;
55;@sosmedkeras Langsung ingat saat dulu ketilang pak polnya gak mau bayar tilang via etilang maunya tunai.;
56;Ini orang ciledug pada ga tau ada etilang apa gmn dah kok pada gak pake helm;
57;Mau dapatin nomor blanko etilang darimana ya? Soalnya gk dikirimin surat etilang.;
58;@Meta80ki Pengendara mobil salah mungkin blind spot. Tp itu traffic light nya berfungsi (tidak mati). Sbg pembelajaran ke depan mungkin bertugasnya bisa agak menepi atau di pos jika nya berfungsi karena semua sudah diotomatisasi dan jika melanggarpun sudah ada etilang;
59;ya semoga kedepannya bisa berbenah seperti contohnya dari satuan lalu lintas yang pelan-pelan berubah dan meninggalkan praktik korupsi dengan adanya etilang dan semoga anggaran polri pelan-pelan dimanfaatkan untuk pengadaan body cam yang bisa dipakai untuk petugas yang berdinas;
60;@tanfikarp Wkwk lupa pake safety belt Bakal kena charge etilang;
61;@badtrippersbet @inlembo @HistoriDunia2 bedain macet di indo sama disana? diindo mungkin saja bisa diterapkan tapi hanya di jalan tol. kalo jalan nasional gk mungkin banyak moror angkot dan sbb. Gak mudah nertibin mereka walau pake etilang sekalipun.;
62;Karena gapake jam tangan gua lupa klo skrg gw masuk lebih cepet dari jadwal akhirnya motor gw terabas tuh simpang semanggi pas sampe kantor baru ngeuh lah anj baru jam 21.40. Hehe wassalam dah ini klo ada etilang;
63;@RadioElshinta Dishub RASIA Perlu di ganti dengan dishub etilang. (Mengurangi anggaran apbn);
64;bakal lucu bgt klo difoto sama camera etilang;
65;@nurmeidaR alah etilang kembali lagi???;
66;selalu kaget tiap lwt dpn plaza pdhl sdh tau klo itu flash etilang tp ttp aja kgtaplg hujan2 gni kirain petir;
67;@LAna2678 @txtfromjogja Itukan abis ditempel di foto Sekarang kan ada etilang ya kalo gak dibayar2 tinggal numpuk aja sama bayar perpanjang nanti gak dibayar2 sekalian pajaknya? Ya kalo masih keliaran tuh mobil tinggal nunggu dikandangin aja.;
68;@atshilove @rutoyeochin emang ajg sekarang ada etilang bangsat pantes ga ada polisi lagi di lampu merah ringroad;
69;@yusufgunawan @infomalang @cityguide911fm @Senaputra_FM @24hourindonesia @RRIMalang @RadioElshinta Biyen tau bapak entuk surat etilang dadakno wong ngaggo plat bodong disanggah kok motor e bedo;
70;@prp3oliv aaa kena etilang;
71;@Aermani_ p info dapet foto hasil etilang dmn ya soalnya aku suka berpose kalo flash etilang nyala kan mayan buat post ig kalo bagus;
72;@wunhagi kalo dari etilang gaada apa apa di cctv van;
73;Kamera etilang tuh sejernih ini ya? Latihan tertib seatbelt aja deh yg sering jalan . Pelanggaran atau denda nya gak seberapa rumah tangga atau hubungan keancam. (Gambar hanya ilustrasi) https://t.co/MeewQbqELQ;
74;@Aermani_ Bang itu kena etilang nya pas dmn?;
75;astagaaaa lucu bgtt lagi couplean pp dari etilang;
76;lucu bgt pp kapelan pke foto dr etilang;
77;@Aermani_ Dipotoin kepin Dipotoin etilang;
78;@Aermani_ Gpp gejolak kawula muda yg penting pala satunya ga kena foto etilang;
79;@Aermani_ Lu kena etilang pas lagi gituan? wkwkwkwk;
80;@AndyHuskyyy wih giliran cctv etilang jernih banget kalau ada kasus ntar burem atau mati wkwk. disby kalau ada ginian mah panen rambu doang traffice light ini diawasi cctv tapi gak ngefek karena banyak yg nrobos dan lawan arus wkwk.;
81;kode pembayaran dan nominal etilang udah keluar setelah 3 minggu nunggu kepastian.... dahlah pertama dan terakhir di tilang -_- kapoook;
82;@danzega18 @panditfootball etilang wkkw;
83;-dips! emg lampu merah undip udh ada etilang nya?;
84;@adriansyahyasin bisa lgsg etilang nih pakpol.. ada plat nomornya @TMCPoldaMetro;
85;mending kena tilang polzi langsung drpda etilang gini;
86;@jogmfs Harusnya polisi standby ditempat buat nyatetin nopol terus dapet surat cintah onlen atau taroh kamera etilang aja sih dijalur lambat;
87;@ini_bowo @Adrianussatrio Platform pengaduan etilang jika tilang approved yang lapor dapet komisi 40% dari nilai denda tilang yang diterima negara.;
88;@ertugrulgh4z1 Hahhahah iya sbnere ena etilang ini gak hrus sidang . Tp kataanya mau d hapus lagi etilang ya;
89;Lah lenteng agung sekarang ada gage juga apa gmn? Kok dari depan UP udh ada etilang. Ada yg tau?;
90;@KontenBerfaedah @DivHumas_Polri bisa kali ditilang anggap anggap sja ini etilang. Biar ada efek jera;
91;@srisumaryani Dulu pas ketilang aja saya sampai jelasin prosedur bayar transfer tilang via etilang. Padahal ada di website etilang.;
92;@itsokaydiiii aku gatau daerah marka gaboleh dilanggar soale gak ada sosialisasi alhasil aku kena etilang-_-;
93;Pertama dan terakhir wes kena etilang-_-;
94;@topenk_enk Mjb bang ini etilang mobil apa motor? Dendanya kena brp ya?;
95;Wah terlihat didepan ace pangpol udah ada kamera etilang dan udah kedap kedip nyala nih;
96;@crazyrichtwit hati hati siapa tau waktu etilang sama yg lain;
97;@BocilWakanda @adriansyahyasin @NTMCLantasPolri @NTMCPoldaMetro jangan normalisasi kebiasaan di kita nih menormalisasi yg jelas salah dan sudah ada aturannya! yg dia lakukan kan paling minimal bisa bantu untuk kesadaran dan ketertiban semua..dgn foto2 dan lapor kyk etilang citizenship ini;
98;WOIIII gua baru tau skrg di budi luhur ada kamera Etilang anyingggg wkwkwk;
99;Tambah di jakkita fitur gamification cepuin pelanggar gini. Tiap cepu an yg jadi etilang jadi bonus buat kita. 2.5%aja mayan kan? @PT_Transjakarta @DKIJakarta @TMCPoldaMetro;
100;@adriansyahyasin @NTMCLantasPolri @NTMCPoldaMetro Kenapa gk pasang etilang aja ya di jalur TJ ...;
101;beliau jelasin etilang di malang gw hanya 'oalah iya haha' GAK DENGER PAK GW DEWASA INI SUNGGUHLAH SANGAT BUDEG;
102;@yukithecharcoal Udh pernah bbrp kali dpt wa model macam2 mi ada yg disuruh ngelike2 trus dpt duit itu.smpe bbrp kli spam terakhir ada wa dr mabes polri kena etilang.klo ga dibayar bakal dilaporin.;
103;ada itu baru semingguan dipasang kamera etilang sampe lampu flashnya bikin silau mata tapi tetep aja masih pada bandel lawan arah;
104;@sopir_idiot Plat ada wajah jelas. Tinggal di kasih etilang. Atau di blokir stnk nya.;
105;@MafiaWasit Etilang kn ada duitny mbah kalo cetak ulang ktp kn g ada duitnya yg ada boncos;
106;@undipmenfess Diatas jam 11 malem aman di bawah itu gak bisa. Dari kamera etilang msh jalan ataupun beberapa polisi kadang muter atau nongki pinggir jalan. Ini pyur pengalamanku yg sering keluyuran malam motoran wkwk;
107;Gw td keluar bermotor sm temen..trs gw lg liat langit ke atas gw lupa kl didepan gw ad etilang...dan rasanya mau buta mata gw;
108;Rasido etilang berati xixixi;
109;@d3ddypru @e100ss ini lhoh bilang e ada kamera giliran gini ga langsung ada laporan dari pemantau ke lapangan malah pilih Etilang apaan ?!!;
110;Kadang tuh egois kadang juga etilang sama e commerce;
111;@bukananggrek ini gua bru cek di etilang doang sih masa ampe 1 jt njing pdhal kesalahanny gada sim doang;
112;Tumben orang2 pda tertib eh ternyata ada pak pulici lg cekrek2 etilang;
113;@akoehsyabil Enggaa bil cek di web etilang;
114;@KediriFess Kyk e kae pernah trus ganti manual maneh. Mbuh lek saiki wes balek gae etilang maneh.;
115;@tempodotco penyiraman hanya solusi sementara yang utama adalah tekan polusi dengan cara. - sterilisasi busway - galakkan etilang dg kamera apasaja termasuk cctv bis transjkt. - kantong parkir murah meriah di sekitar halte/stasiun - GAGE 24 jam - patroli cerobong industri dimalam hari;
116;@UNJmenfess Ngurus etilang gampang kok. Ga harus ke kejaksaan aku kemarin juga abis ngurus etilang bapak aku wkwkwk;
117;@Paltiwest Apakah POLISI sudah malas ngurusi beginian karena sistemnya eTilang?;
118;@KompasTV solunya sudah tau dan sudah pernah dijalankan namun berubah saat pergantian peminpin. - sterilisasi bus way - manfatkan berbagai sumber untuk etilang.(kamera halte bis petugas petugas yg menyamar jalan dll) selama bisa dipertanggung jawabkan kebenarannya. -kantong parkir murah;
119;Kalian pernah kena Etilang ga? Bayarnya berapa dan karena apa?;
120;Kena ETILANG karena ada masalah di lampu merah kena denda berapa ya? Ada yg pernah? Plis aku gtw kalau ga boleh belok dan harus lurus terus;
121;@himawansugeha95 @ocarozano @Paltiwest @ahriesonta @ListyoSigitP Pasang cctv pak berlakukan etilang;
122;@Paltiwest @zarryhendrik Ini pemotor bodoh dan pjlisi nya juga pada bodoh.ada teknologi kok ga di pake.pasang etilang kan selesai.;
123;@abcdefvcking14 @detikcom Si halo dek rasa coklat ini katanya mau pasang sistem etilang disekitar lokasi situ krn msh banyak yg lawan arus;
124;@txtdrjkt etilang kok kayaknya ga ada ngaruhnya ya?kalo berulang2 gitu mestinya udah kena tilang berkali2 dan kalo berkali2 kena tilang mestinya diblacklist ga boleh punya sim lagi paling ga untuk waktu tertentu;
125;@undipmenfess Ada.. ati2 aja sekitar tanjakan pertigaan lampu merah depan masjid kampus pernah kena etilang gara2 lewatin marka;
126;-dips! di area tembalang ada etilang ga si?;
127;@xeevaa_ mau nebeng chanyeol takut kena etilang ka;
128;@convomfs Ini dpt notif kita kena etilang dimana;
129;@detikcom itu BUKAN UrusanMu. kalau kau kurang Kerjaan. Foto platnya biar POLISI yg nilang. GAK USAH SOK2 SUCI BERKEDOK Uang Adsense Youtube KAU M0NYETTT. (Pasang Kamera ETILANG. SELESAI MASALAH) MACAM KAU GAK PERNAH LAWAN ARAH AJA 4NJEENGGGG;
130;@tanyarlfes Mobil temen ditabrak tipis sama bocah umur 5 tahun orantuanya diminta ganti rugi 300ribu per panel. Padahal lecetnya sedikit banget. Seminggu kemudian temen dapet notif etilang gage 500ribu. Pfftt... Karma is real.;
131;@detikcom Oknuk banyak 62 ini harus tetap ada tindakan tilang langsung..ngak.peduli etilang karena motor bukan atas namanya dan pajak mati biasanya;
132;@atcs_samarinda banyaknya yg lawan arus lalin di jl pesut sungai dama ni yaa pak @Polresta_SMD mungkin klo ada etilang bnyak ketangkap ini;
133;anjir lah keknya yg eaktu itu gua pasti kena etilang anjir GAHAHA;
134;@TMCPoldaMetro elamat malam pak saya ingin bertanya saya ketilang kemarin saya cek di website etilang datanya sudah keluar kalau saya bayar denda dengan transfer apakah langsung bisa di ambil sitaan STNK tanpa menunggu tanggal sidang?;
135;@PolantasN Selamat malam pak saya ingin bertanya saya ketilang kemarin saya cek di website etilang datanya sudah keluar kalau saya bayar denda dengan transfer apakah langsung bisa di ambil sitaan STNK tanpa menunggu tanggal sidang?;
136;@korlantasid kalau sudah konfirmasi etilang tp pas bayar tidak bisa dan skr sudah lewat jadwal sidang harus bagaimana?;
137;@VIVAcoid Kalo ada ge fokus ke tilang nya Lagian sekarang banyak nya juga dishub bukan polantas. Polantas udh jarang sejak etilang. Gk ada duit nya cape panas panasan;
138;ada yang pernah kena etilang? Kalau ga dapet email sama sms gimana yaa?;
139;@herricahyadi Nongki ama teman polkis semenjak pake etilang mereka malah malas buat nindak pelanggaran dijalan klo gak kecelakaan ya biaran aja coz gak ada duitnya juga;
140;@yeolie_sayang61 @tanyarlfes jujur gausah buat sim kalo lu gapernah riding jauh kalo dlam kota skrang banyakan etilang.;
141;@pinchipowww hrusnya minta etilang ajaa;
142;udah stress tbtb dapet surat etilang dikirim kerumah;
143;Ini ditindakan eTilang gak? Saya jepret hari ini jam 14.11 B 2676 SIO putar balik di pertigaan Tendean - Woltermonginsidi. Bukti ini sdh jelas bikin macet jalur Tendean arah Blok M! @TMCPoldaMetro @DivHumas_Polri @korlantasid @NTMC_Info @poldametrojaya @ListyoSigitP https://t.co/IVx7A0QbOS;
144;Resiko telat bayar Etilang opo lekk...;
145;Siapa yg pagi pagi dah kena etilangï¸�;
146;@DivHumas_Polri Siang... Cara cek ETilang Online link web nya yg mana yah? Sy coba masukkan no Register tidak diketemukan... Terimakasih;
147;Ga keren banget kena etilang di tankus;
148;@TMCPoldaMetro ini kenapa no saya dapat e-tilang? Pdhl saya ga lg bawa kendaraan. Pas saya cek website nya lokasi di Pandeglang saya di Jakarta. Kok bisa dpt etilang terus pakai nomor hp org lain dlm kasus ini nomor saya. Di web pdhl no tdk punya loh. Tolong dijelaskan dong??? https://t.co/OJvcF9ZHtt;
149;@moalfiqry @infobdg Semenjak etilang loba knalpot gandeng boss mending tilang manual.;
150;@FeryNdut1 Terus nek ngono etilang berlaku ora pak misal buka dalan? Wkwkwk;
151;Skrg kalo beli kendaraan seken pastikan clear/bersih ga ada etilang nyangkut https://t.co/Fumw0rrVXR;
152;@SmgMenfess2 1 pasar tuh kalau sidang 49k kalau 2 pasal masih kisaran dibawah 100k. Se etilang etilang pun bisa bayar pakai briva. Itu juga gak bakal denda maksimal.;
153;eh kok nomer surat tilang gue dicari di etilang/kejari gaada yaaaa;
154;@Moschiseo oh! Aku dikenai etilang kok jadi langsung masuk sistem. but interesting you said this because all tilang revenues go straight to the ministry of finance dan tidak bisa dikelola kepolisian/pengadilan/kejaksaan. BUT STILL SUCKS ASS;
155;Udah balik ke etilang aja .. kan udah beli alat mahal2;
156;@detikcom Alasan diberlakukan etilang dlu apa ya?;
157;@periodknock Etilang gaguna soalnya wkkw;
158;@kumamoto_beru gw juga pernah kena tilang pas masuk jalur busway di permata hijau gw kasi aja tu stnk nya karena posisi juga panik trus tak cek aja di etilang nomer tilangnya yang ditulis disitu nunggu seminggu habis itu datang ke kejaksaan ngantri ambil tilangan bayar abis itu balik...;
159;"@CNNIndonesia Mungkin adanya Etilang pendapatan berkurang untuk beli bensin&amp; rokok";
160;Emang belon bisa kita pake etilang kebanyakan yang seenak2nye aje...... kemaren ada yg goncengan di sudirman juga kagak pake helm. Emang pade kayak kamprreet https://t.co/nGWFQkxPQL;
161;@kumparan Tentu demi menjaga ketertiban lalu litas tak masalah namun kalau mau kembali ke siatem lama bukanya penting sistem etilang dievaluasi. Bagaimana anggaran digelontorkan dan berakhir dinilai tidak efektif? Apakah negara akan melanggengkan impunitas?;
162;pasang etilang mu kawan;
163;@asumsico Kayaknya benar ini di berlakukan lg karena persis kemarin di Sudirman mobilÂ² yg melanggar ganjil genap pada di berhentiin. Tapi timbul pertanyaan di kepala gw itu kan di Sudirman etilang ko pada di berhentiin mobil emang etilang nya sebenarnya ga berfungsi ya?;
164;@asumsico etilang ku kira cuman yg kek lampu diatas kedip itu ternyata bisa lewat polisi trs ngefoto pake hp njir pernah motor mamaku yg udh dijual trs dapet surat etilang karna waktu itu belom ganti nama stnknya mana sama mamaku dikira bapak selingkuh soalnya fotonya bonceng cewe;
165;sejak diterapin etilang banyak yg copot plat kaya bagini nih https://t.co/QTbg6ivYC3;
166;@asumsico Mau tilang manual mau etilang ga ngefek sih soalnya saya tertip. Tapi udah tertip masih juga diseruduk orang indong primitif. Jancuk;
167;@asumsico etilang aja pak @presiden;
168;@Andrian_eFeS @asumsico Banyak yg ngakalin etilang bang. Gedek bat gw;
169;Tilang manual ini hendaknya buat penertiban supaya etilang bisa berfungsi dengan baik.;
170;@asumsico Untuk di Bangka Barat atau nasional? Apa mentang2 etilang jd kada ada yg nongol di pos atau perempatan?;
171;Ekatalog biar gampang nyebutnya ekat kalo etilang berarti etil.;
172;https://t.co/ir02IPTjpe Satlantas Polresta Pekanbaru Berlakukan Etilang https://t.co/dZ5goIhgfW;
173;@convomfs Plis segera ditangani kak hub cs yg berkaitan dng keuangan dan aplikasi. Semoga bisa dtangani dan cepat teratasi ya ka modusnya bnyk bngt dr bnk undangan paket dan yg baru2 ini etilang. Jgn sembarangan ngeklik link apk mereka mirroring lwt apk itu ke hape;
174;Jgn lupa seat belt tong biar g kena Etilang https://t.co/5etBbaVDUF;
175;"@jokowi main main ke cikarang pak pleaseeee. jalan rusak rusak lampu jalan hampir gk ada truk &amp; bus ngetem ngasal pak pol habis kebijakan etilang gak pernah kliatn lagi di pos / jalanan pdahal dlu jam plg kantor udah standby aja";
176;@narkosun Pada gak make helm panen etilang gak nih?;
177;Pakai seatbelt supaya aman dari etilang;
178;@astronoudt @idextratime eh btw gw ngerantau dan motor gw bawa klo misal gw kena etilang nnti suratny di kirim ke rmh gw juga?;
179;Denda etilang motor karena nerobos lampu merah berapa ya?;
180;Etilang konfirmasi maksimal 7hari sedangkan suratnya baru nyampe sekarang.Status terblokir Minimal pake kurir instan aja pak gojekin tar ongkirnya gua yg bayar @TMCPoldaMetro https://t.co/iL7gSobgPQ;
181;@adriansyahyasin Ini kalo kena etilang yang bayar pribadi apa instansi pake uang rakyat ya? Secara plat nya RF;
182;Sangking ga pernah keluar ke arah sana gua kaget ada etilang ternyata di rangkas pantesan banyak yg pake helm 2 gua pikir kan mereka yg baru mudik ternyata kaga jangankan etilang yg aga jauh dr rmh ga tau di jalan rumah aja gua suka kaget klo sekali keluar ko beda wkwkw;
183;@TMCPoldaMetro Ijin curhat pak. Kekantor lewati CCTV Bidakara. Semula tdk yakin ini melanggar gage krn toh hanya kl 300m. Apalagi tdk pernah dapat eTilang kerumah. Astaga ternyata diblokir. Dan ada 22x pelanggaran. Habis pensiunku pertama hanya untuk bayar eTilang.;
184;@masranoe paling disuruh keluar tol nu kalau emang ga kena etilang mungkin banyak kurangnya juga karna baru di coba tahun ini nuu kalau ga sesuai realisasi jadi mohon dimaklumi yaa;
185;@Kentuuunggg Tapi kan masuk tolnya sebelum itu berlaku tung... kena juga masa? Misal tanggal genap... start ganjil genap di karawang barat jam 2 siang. Dan plat gua ganjil tp jam 2 siang gua udah ngelewatin karawang barat posisinya masa kena etilang jg?;
186;@masranoe kena etilang;
187;@gilbhas @topenk_enk dapet etilang terakhir konfirmasi tangal 25 feb surat datang tanggal 4 maret kejadian di foto hari minggu di surah di tulis hari jumat mana fotonya gak ada timestampnya lagi ini foto dari petugas yang diem diem.;
188;@topenk_enk Sama Mas. Sy ga terima email or sms or surat. Alasannya alamat rumah sy perumahan baru Posnya ga sampe Baru tau ada etilang pas mau perpanjang STNK. Jd skalian aja bayar di Samsat. Ambil kembalian tilangnya di BRI stlh tgl sidang;
189;@empatsayap @Bams27735590 Skrg ga pernah liat razia deh bukanya Etilang adanya?;
190;Nggak takut dpt surat cinta dri etilang apa ya ?;
191;jangan ajak pergi sy bangkrut hbs bayar etilang;
192;Setau gue kan sejak ada etilang sipoli udh gabole tilang manual lagi kan. Eh td kena lah gue di semanggi tu.. gue blg tilang aja gpp pake diancem baru bisa diambil 3bulan lagi lah nyari2 kesalahan gue dikata gue lg telfonan disuruh buka hpnya apa ada telfon aktif apa ngga -c;
193;@spocify Waaah syukurlah. Tinggal nunggu brivanya aja berati ini. Makasih ya infonya pertama kali bgt kena etilang;
194;Kena etilang ya Allah kocak bgt ini berapa dah dendanya https://t.co/eOH6nvp7xM;
195;Sumpah ini mata perih gara-gara lampu etilang;
196;@poalish Awas kena etilang;
197;@dodisastra @Paltiwest Udah di ganti etilang kak Isilop nya ngopi aja di kantor;
198;@mazzini_gsp @DivHumas_Polri @ganjarpranowo @poldajateng_ Analisa gw kok kayaknya gara2 sekarang etilang polisi males turun ke jalan. Perampok jadi semangat turun ke jalan;
199;@lunoxbb @cats_lover2 dah ada etilang ntar babu yang ngurus tilangannya;
200;besok sidang etilang eheh. mon maap gw ga pernah itu gimana caranyaaaaaah;
201;jaman kuliah gue dulu ni pulisyi dimana mana untuk kawasan gage ini pada kemana woyyyy etilang juga kan gaada kamera di sini;
202;@merapi_uncover Klo bangun nanti foto orang lewat disitu trus upload di etilang;
203;"Waspada Surat E-Tilang dengan format APK (aplikasi). Pengiriman surat E-tilang hanya dikirimkan melalui Pt Pos Indonesia ke alamat pelanggar yang sesuai tertera di stnk Jika menerima surat etilang selain dari pengiriman pos seperti Via WhatsApp harap abaikan &amp; jangan dibuka.";
204;Modus baru apk. Sekarang pura2 jadi eTilang. Kreatif banget https://t.co/OcrfC5fXXC;
205;Pengiriman surat E-tilang hanya dikirimkan melalui Pt Pos Indonesia ke alamat pelanggar yang sesuai tertera di stnk Jika menerima surat etilang selain dari pengiriman pos seperti Via WhatsApp dengan format aplikasi harap abaikan dan jangan dibuka .;
206;@Zahra_aka_dara iya kak kalo skrg yang lagi trend etilang kan jadi si penipu menggunakan itu;
207;@PRFMnews etilang sama knalpot bising susah atuh mantaunya jg ditambah tara aya polisi dijalanna ge;
208;Yess dapet surat cinta ETILANG;
209;Semenjak polantas jrg nongol di jalan makin banyak pemotor ga raguÂ² bwt melanggar Yg pnting ga kerekam etilang kn;
210;wkwkwk kmrn iki crita etilang dijln utama cilegon dicabut kabelnya sm masyarakatnya . kek anjay dah ga ketolong;
211;@sbyfess etilang bukane awakmu kudu transfer yo nder baik lewat teller / ATM? gak eruh sih nder aku dewe Alhamdulillah gak tau kenek ETLE;
212;-rek ada sing pernah sidang etilang gitu gak rek? tolong briefing kudu ke bagian mana? sesuai tgl sidang itu jamnya gak ada tulisan e :(((( aku bingung mbak mas :(((;
213;-rek ada sing pernah sidang etilang gitu gak rek? tolong briefing kudu ke bagian mana? sesuai tgl sidang itu jamnya gak ada tulisan e :(((( aku bingung mbak mas :(((;
214;@SoloMenfess lebih baik ngikutin lampu apill aja nde. takut e nanti kena etilang kan tombok. terkecuali ada pihak berwenang yang menyuruh untuk jalan gapapa.;
215;@TMCPoldaMetro Psang kamera Etilang donk pa..klo cmn rambu yaa gmpng d trobos .;
216;minimal pake seatbelt kena etilang mampus lu dek;
217;@penguasahati @PolrestabesSby @HumasPoldaJatim Kapolrestabes nya yg pernah bikin terobosan etilang dan pegang kasus2 besar wkt jd direskrimsus Polda Jatim;
218;@ruhulmaani Polisi tidak perlu ETilang... dia sdh nunjukin dgn sendirinya kalo dia ugal2an d jalan.;
