Text;Status
Waspada Surat ETilang dengan format APK aplikasi Pengiriman surat Etilang hanya dikirimkan melalui Pt Pos Indonesia ke alamat pelanggar yang sesuai tertera di stnk Jika menerima surat etilang selain dari pengiriman pos seperti Via WhatsApp harap abaikan dan amp jangan dibuka;negatif
Modus baru apk Sekarang pura2 jadi eTilang Kreatif banget;negatif
Pengiriman surat Etilang hanya dikirimkan melalui Pt Pos Indonesia ke alamat pelanggar yang sesuai tertera di stnk Jika menerima surat etilang selain dari pengiriman pos seperti Via WhatsApp dengan format aplikasi harap abaikan dan jangan dibuka;negatif
iya kak kalo skrg yang lagi trend etilang kan jadi si penipu menggunakan itu;positif
etilang sama knalpot bising susah atuh mantaunya jg ditambah tara aya polisi dijalanna ge;positif
Yess dapet surat cinta ETILANG;positif
Semenjak polantas jrg nongol di jalan makin banyak pemotor ga ragu bwt melanggar Yg pnting ga kerekam etilang kn;positif
wkwkwk kmrn iki crita etilang dijln utama cilegon dicabut kabelnya sm masyarakatnya  kek anjay dah ga ketolong;negatif
etilang bukane awakmu kudu transfer yo nder baik lewat teller  atau  ATM gak eruh sih nder aku dewe Alhamdulillah gak tau kenek ETLE;positif
rek ada sing pernah sidang etilang gitu gak rek tolong briefing kudu ke bagian mana sesuai tgl sidang itu jamnya gak ada tulisan e  aku bingung mbak mas;positif
lebih baik ngikutin lampu apill aja nde takut e nanti kena etilang kan tombok terkecuali ada pihak berwenang yang menyuruh untuk jalan gapapa;positif
Psang kamera Etilang donk paklo cmn rambu yaa gmpng d trobos;negatif
minimal pake seatbelt kena etilang mampus lu dek;positif
Kapolrestabes nya yg pernah bikin terobosan etilang dan pegang kasus2 besar wkt jd direskrimsus Polda Jatim;positif
Polisi tidak perlu ETilang dia sdh nunjukin dgn sendirinya kalo dia ugal2an d jalan;positif
Jangankan gencar  Jarang aja dibilang rezim  bilang polnya cari duit  Trus ada ETilang  jg masih aja diprotes jd dah bner itu komentar percuma Alasan yg lebih tepat itu saat tes sim di tes jg kan soal rambu  Nyatanya;positif
Bayangin tuh abu rokok terbang kena mata pengemudi motor di belakang nya careless banget etilang harus bisa capture lah;positif
nah iya smpet mau bilang knp semenjak lampu lalin nya di perbaiki tulisannya di ilangin dan ga dibalikin alhasil kalo kita brenti yg belakangnya nge bel terus kalo ga brenti takut kena etilang;positif
Kirim etilang ke pemotor biar ada efek jera semua jalan bebas mereka lawan arus bikin masyarakat khawatir keselamatan;positif
ko masih ada tilang manual gt kakkk bukannya udah diterapin etilang ya;positif
gimana ya cara mengetahui terkena Etilang Saya harus bertanya kemana Minta infonya;positif
Iya betul memang sudah lama kak kalo belum zaman etilang ini sih patokannya kalo ada pengendara naik baru saya ikut naik hahaha emang nakal anaknya;positif
Nah min tolong di cabut atuh etilang bapak saya Janji deh sekeluarga nanti nyoblos capres dari gerindra;positif
Mba di situ ada camera iya lambaikan tangan dulu Sip anda kena etilang;positif
Budaya kita budaya kita Temen lu noh minjem motor kena etilang;positif
UU darurat pengancaman gimanapernah kena etilang jg seharusnya stnk di frozen melanggar lalin lawan arah;positif
Ada ancaman jg disitu barbuk video udh bertebaranApalagi penghancuran barang melanggar lalin pernah kena etilang bisa jawab;positif
Ya tinggal bikin peraturan stiker RFID ukurannya harus besar dan warnanya mencolok serta harus dipajang di muka motor yang kelihatan seperti di atas lampu atau di bawah pelat nomor kalau bisa dibikin glow in the dark Yang ngga pake stiker ditilang manual atau eTilang;positif
Engga tapi hampirr makanya ini nepi dulu kalo kena kamera etilang ntar dapet notice suruh bayar denda;positif
semenjak pake etilang jalanan makin kacau;positif
permisi mau bertanya soalnya etilang Saya kena etilang di daerah Jakarta Dan sudah konfirmasi juga melalui website Setelah itu tidak ada tgl sidang dan amp kode briva nya Tidak ada konfirmasi sms atau email juga;positif
khusus peremoatan itu etilang gak berlaku;positif
Gaes tadi aku di berentiin sama polisi soalnya ga pake helm soalnya buru buru sodara ku mau lahiran Tris di potoin kena etilang yang;positif
Inves eTilang harus dioptimalkan;positif
Cok ga due duit malah disurpres idamane arek arek gae etilang;positif
Pasang etilang aja pak di ujungnya;positif
Etilang asu 500 rb anjrotttt;positif
aowkaowk etilang aja suratnya ga kekirim ke rumah apalagi ini jgn jgn kayak etilang juga pas perpanjang sim ditagih tunggakan erp;positif
Sebenarnya kayak gini pasang etilang lgsg kena banyak nih;positif
wah asu etilang mang marake jengkel;positif
anjing etilang dendanya 500rb bgst mahal bgt;positif
Seharusnya pak polisi tetap siaga di pos Juga di jalanan Karene etilang belum semuanya ada di titik rawan Segera di tindak utk yg lepas nopol di blkg;negatif
Kmu saya etilang;positif
Ni klo polantasnya bener jalanin etilang pasti bakalan sejahtera dah yakin aku Banyak kali klo serobot lampu merah ini jd bingung ntu fungsi kamera sebenarnya cmn buat CCTV doang ya bukan buat nilang;positif
Solusi untuk Etilang Pembayaran bbm harus menggunakan Emoney berupa atm nah semua pelanggaran tilang kita itu dibayar melalui aplikasi yg sudah terhubung dgn atm tersebut Nah jika limit pelanggaran tilang suda mencapi maksimal contoh 1juta masyarakat tidak bisa top up;positif
Di bandung tdk Etilang polisi tdk bs nilang manual Tapi lampu merah tsb masuk ke lampu merah terlama di indonesia;positif
setauku juga klo etilang itu bisa dibayar dimana aja kak CMIIW asalkan dapet kode BRIVA mau bayar lewat atm atau  mbanking atau  atau ke teller bank bisa kak;positif
Halo kak untuk bayar etilangnya setauku pakai BRI nanti pakai kode BRIVA yang dikasih setelah kakaknya konfirmasi etilang di webistie ituu atau kalo mau pakai caraku juga bisa dibaca di threadku yah Semoga membantu;positif
Kak mohon maaf mau tanya kalo bayar etilang ituu gmna yaa soalnya saya baru dapettt nggak paham udah mau masuk web nya tapi eror terus;positif
Assalamualaikum pak mau tanyaaa saya dapet etilang tapi nggak ngertiii gmna bayarnya mau konfirmasi tapi web nyaaa eror terusss;positif
Berapa sudah anggaran yg dikeluarkan untuk perangkat etilang;positif
Agat Etilang tidak salah alamat dan tepat sasaran Penjualan motor bekas tidak sembarangan juga mobil disertai balik nama atas pemakai Ndan ListyoSigitP;positif
Bukankah seperti ini yang diharap Ndan dengan keputusannya pun hanya diam melihat Kalau memang dihilangkan tilang ditempat tingkatkan cctv untuk etilang dimana saja bukan hanya diperempatan yang bisa membaca retina mata dan mimik wajah;positif
Etilang ga bisa diremehin gaes;negatif
ga ada tp gtau si etilang disitu gmn;positif
